ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
H65	J35	3858	5037	8691	49230	0.0	5.2659294365455505e-06	5.2659294365455505e-06
E86	A08	1422	2657	6031	49230	0.0	5.2659294365455505e-06	1.0531858873091101e-05
K02	K04	442	1914	660	49230	0.0	5.2659294365455505e-06	1.579778830963665e-05
N13	N39	398	963	2832	49230	6.306646699856892e-237	5.2659294365455505e-06	2.1063717746182202e-05
K02	K08	189	1914	221	49230	3.3319476284009153e-233	5.2659294365455505e-06	2.6329647182727753e-05
E86	A09	782	2657	4578	49230	1.0443577815594334e-205	5.2659294365455505e-06	3.15955766192733e-05
J00	J20	411	1670	3273	49230	7.732490167454939e-126	5.2659294365455505e-06	3.686150605581886e-05
H50	H52	72	564	125	49230	7.00553676930322e-107	5.2659294365455505e-06	4.2127435492364404e-05
K04	K08	88	660	221	49230	1.556319523569374e-105	5.2659294365455505e-06	4.739336492890995e-05
J18	J20	437	2184	3273	49230	1.1068805581307547e-100	5.2659294365455505e-06	5.2659294365455505e-05
H65	H90	179	5037	306	49230	4.541981895727286e-96	5.2659294365455505e-06	5.792522380200106e-05
E86	E87	165	2657	462	49230	2.1191146992762315e-89	5.2659294365455505e-06	6.31911532385466e-05
E87	A08	227	462	6031	49230	1.410955437600293e-84	5.2659294365455505e-06	6.845708267509215e-05
H90	J35	203	306	8691	49230	2.3010994947643014e-79	5.2659294365455505e-06	7.372301211163771e-05
N10	N39	177	663	2832	49230	1.186377300186105e-68	5.2659294365455505e-06	7.898894154818326e-05
G80	G82	37	154	108	49230	1.8478964892367025e-66	5.2659294365455505e-06	8.425487098472881e-05
G40	G41	55	1089	100	49230	5.691316093400585e-64	5.2659294365455505e-06	8.952080042127436e-05
N10	N13	105	663	963	49230	1.9094533860575534e-62	5.2659294365455505e-06	9.47867298578199e-05
G80	M62	30	154	71	49230	3.0695899601962127e-57	5.2659294365455505e-06	0.00010005265929436546
J15	J20	196	824	3273	49230	9.606666786722427e-57	5.2659294365455505e-06	0.00010531858873091101
F80	F83	40	211	206	49230	1.6203636397935206e-54	5.2659294365455505e-06	0.00011058451816745656
H50	H53	37	564	75	49230	1.0732299256462572e-51	5.2659294365455505e-06	0.00011585044760400212
N13	N28	47	963	110	49230	1.5735760319635626e-50	5.2659294365455505e-06	0.00012111637704054767
