ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
N13	N20	199	304	691	38921	1.791103994088717e-279	1.0090817356205853e-05	1.0090817356205853e-05
J34	M95	231	2345	309	38921	1.0427670689050448e-214	1.0090817356205853e-05	2.0181634712411707e-05
J32	J34	313	618	2345	38921	3.5763649856650726e-214	1.0090817356205853e-05	3.027245206861756e-05
N20	N23	164	691	322	38921	3.1506058217249497e-202	1.0090817356205853e-05	4.0363269424823414e-05
K21	K44	129	444	303	38921	1.9394585468499902e-172	1.0090817356205853e-05	5.0454086781029264e-05
H91	H93	110	306	397	38921	3.9516300886683175e-142	1.0090817356205853e-05	6.054490413723512e-05
N13	N23	95	304	322	38921	4.744367446869855e-125	1.0090817356205853e-05	7.063572149344098e-05
F11	F13	79	342	161	38921	2.283691086343615e-120	1.0090817356205853e-05	8.072653884964683e-05
K21	K29	151	444	1116	38921	4.0773006135181645e-119	1.0090817356205853e-05	9.081735620585268e-05
K29	K44	119	1116	303	38921	2.8097807598213145e-102	1.0090817356205853e-05	0.00010090817356205853
B18	F19	106	291	831	38921	1.0148331067662806e-100	1.0090817356205853e-05	0.00011099899091826439
M51	M54	127	549	783	38921	2.480185952783026e-96	1.0090817356205853e-05	0.00012108980827447024
F10	F60	145	1537	424	38921	1.0938843248361249e-94	1.0090817356205853e-05	0.0001311806256306761
E66	I10	101	429	552	38921	6.723676791376351e-93	1.0090817356205853e-05	0.00014127144298688195
K02	K04	60	216	213	38921	1.7941280335394236e-86	1.0090817356205853e-05	0.0001513622603430878
F11	F19	99	342	831	38921	1.1857010384216433e-82	1.0090817356205853e-05	0.00016145307769929366
F11	F14	49	342	85	38921	4.6898477689436463e-79	1.0090817356205853e-05	0.00017154389505549952
B18	F11	69	291	342	38921	1.7390804014656632e-78	1.0090817356205853e-05	0.00018163471241170536
E78	E79	72	540	229	38921	9.333173026933295e-77	1.0090817356205853e-05	0.00019172552976791122
F43	F60	97	772	424	38921	2.427496278107301e-73	1.0090817356205853e-05	0.00020181634712411706
H83	H93	55	142	397	38921	2.886503853808789e-72	1.0090817356205853e-05	0.00021190716448032292
F32	F60	87	631	424	38921	4.809028686144462e-69	1.0090817356205853e-05	0.00022199798183652878
M23	M94	84	1755	163	38921	2.7807598670836546e-68	1.0090817356205853e-05	0.00023208879919273462
F19	B17	69	831	176	38921	3.6393025532118273e-68	1.0090817356205853e-05	0.00024217961654894048
F10	K70	55	1537	67	38921	9.503126681738711e-66	1.0090817356205853e-05	0.0002522704339051463
F19	F60	93	831	424	38921	1.4505187768871455e-65	1.0090817356205853e-05	0.0002623612512613522
F10	F43	156	1537	772	38921	1.6590748537905388e-65	1.0090817356205853e-05	0.00027245206861755805
F32	F43	101	631	772	38921	1.893880227070256e-60	1.0090817356205853e-05	0.0002825428859737639
E78	K76	68	540	314	38921	3.0483288836513057e-60	1.0090817356205853e-05	0.0002926337033299698
F11	F12	55	342	260	38921	2.132033567942112e-59	1.0090817356205853e-05	0.0003027245206861756
F13	F19	61	161	831	38921	3.042845628444687e-59	1.0090817356205853e-05	0.00031281533804238145
E78	I10	82	540	552	38921	7.700875372316314e-59	1.0090817356205853e-05	0.0003229061553985873
C62	C77	27	180	35	38921	2.679414754659209e-57	1.0090817356205853e-05	0.0003329969727547932
C62	D40	29	180	54	38921	2.764358656649445e-54	1.0090817356205853e-05	0.00034308779011099904
E66	E78	70	429	540	38921	4.749643953955095e-53	1.0090817356205853e-05	0.00035317860746720485
N47	N48	75	962	303	38921	2.0874427960637545e-52	1.0090817356205853e-05	0.0003632694248234107
K01	K07	47	332	217	38921	6.497662618963429e-52	1.0090817356205853e-05	0.0003733602421796166
F20	F23	54	400	296	38921	8.946819015924599e-51	1.0090817356205853e-05	0.00038345105953582244
K04	K08	34	213	110	38921	1.596524700163426e-50	1.0090817356205853e-05	0.0003935418768920283
J32	J33	44	618	118	38921	2.6537861763230637e-48	1.0090817356205853e-05	0.0004036326942482341
E79	K76	44	229	314	38921	2.976498839882509e-47	1.0090817356205853e-05	0.00041372351160444
B18	F13	38	291	161	38921	7.055734922007759e-46	1.0090817356205853e-05	0.00042381432896064584
J33	J34	62	118	2345	38921	7.89414478994277e-44	1.0090817356205853e-05	0.0004339051463168517
F10	F32	115	1537	631	38921	1.4224190620283035e-43	1.0090817356205853e-05	0.00044399596367305756
F11	B17	39	342	176	38921	4.699580201685687e-43	1.0090817356205853e-05	0.00045408678102926343
E66	K76	50	429	314	38921	2.016092354184601e-42	1.0090817356205853e-05	0.00046417759838546924
F13	F14	26	161	85	38921	5.31645053934972e-42	1.0090817356205853e-05	0.0004742684157416751
F12	F14	29	260	85	38921	5.374112349279281e-42	1.0090817356205853e-05	0.00048435923309788097
F12	F23	40	260	296	38921	5.620038319506243e-40	1.0090817356205853e-05	0.0004944500504540868
F12	F20	44	260	400	38921	6.008377083390088e-40	1.0090817356205853e-05	0.0005045408678102926
J30	J34	65	150	2345	38921	3.342740917816824e-39	1.0090817356205853e-05	0.0005146316851664985
K02	K08	28	216	110	38921	8.361902512268364e-39	1.0090817356205853e-05	0.0005247225025227044
K26	K29	49	146	1116	38921	1.3137984282000167e-38	1.0090817356205853e-05	0.0005348133198789102
C77	C78	14	35	24	38921	2.161096186100734e-38	1.0090817356205853e-05	0.0005449041372351161
B18	B17	34	291	176	38921	6.901155811004246e-38	1.0090817356205853e-05	0.000554994954591322
F12	F13	31	260	161	38921	3.9430754243815023e-36	1.0090817356205853e-05	0.0005650857719475278
F10	F13	54	1537	161	38921	2.952494988067864e-35	1.0090817356205853e-05	0.0005751765893037337
F13	F60	35	161	424	38921	4.333502217210655e-35	1.0090817356205853e-05	0.0005852674066599395
K01	K04	35	332	213	38921	2.51538311455083e-34	1.0090817356205853e-05	0.0005953582240161453
K80	K81	20	241	40	38921	3.793427942320154e-34	1.0090817356205853e-05	0.0006054490413723512
E66	F17	59	429	703	38921	6.125954694779173e-34	1.0090817356205853e-05	0.000615539858728557
M22	M23	60	192	1755	38921	7.72631831042397e-34	1.0090817356205853e-05	0.0006256306760847629
F14	F19	33	85	831	38921	5.586004815048399e-33	1.0090817356205853e-05	0.0006357214934409688
B94	F19	20	21	831	38921	6.366307588319457e-33	1.0090817356205853e-05	0.0006458123107971746
K60	K61	36	239	359	38921	1.2137468038134534e-32	1.0090817356205853e-05	0.0006559031281533805
F10	F19	116	1537	831	38921	1.7365718468400964e-32	1.0090817356205853e-05	0.0006659939455095863
B35	A46	18	41	178	38921	5.839523295695608e-32	1.0090817356205853e-05	0.0006760847628657922
F12	F60	38	260	424	38921	3.5869232599627155e-31	1.0090817356205853e-05	0.0006861755802219981
K02	K12	27	216	181	38921	1.2074242549259152e-30	1.0090817356205853e-05	0.0006962663975782039
I26	I80	17	55	118	38921	2.872736398234927e-30	1.0090817356205853e-05	0.0007063572149344097
E79	I10	39	229	552	38921	3.106031348844064e-30	1.0090817356205853e-05	0.0007164480322906156
F19	F43	78	831	772	38921	4.665123382315642e-30	1.0090817356205853e-05	0.0007265388496468214
C62	C78	15	180	24	38921	6.575697411530233e-30	1.0090817356205853e-05	0.0007366296670030273
B18	F14	23	291	85	38921	1.1786551890788165e-29	1.0090817356205853e-05	0.0007467204843592331
K02	K05	17	216	37	38921	3.4111025716960854e-29	1.0090817356205853e-05	0.000756811301715439
H33	H35	18	137	70	38921	4.2866730223995447e-29	1.0090817356205853e-05	0.0007669021190716449
M23	M65	61	1755	239	38921	6.28323532547914e-29	1.0090817356205853e-05	0.0007769929364278507
K01	K09	21	332	59	38921	7.253587295375321e-29	1.0090817356205853e-05	0.0007870837537840566
M23	M24	73	1755	350	38921	2.566454774865014e-28	1.0090817356205853e-05	0.0007971745711402625
E66	E79	34	429	229	38921	4.606397341020214e-28	1.0090817356205853e-05	0.0008072653884964682
J34	J35	228	2345	1786	38921	1.5623959908898575e-27	1.0090817356205853e-05	0.0008173562058526741
F12	F19	45	260	831	38921	1.8992613565299087e-27	1.0090817356205853e-05	0.00082744702320888
E10	E14	18	211	59	38921	4.1574675845047176e-27	1.0090817356205853e-05	0.0008375378405650858
B16	B17	20	106	176	38921	5.852773209124313e-27	1.0090817356205853e-05	0.0008476286579212917
M23	M25	65	1755	302	38921	3.6170469463493277e-26	1.0090817356205853e-05	0.0008577194752774975
F33	F60	27	137	424	38921	4.264978915627376e-26	1.0090817356205853e-05	0.0008678102926337034
F41	F45	28	293	244	38921	1.036490454593138e-24	1.0090817356205853e-05	0.0008779011099899093
F19	F20	51	831	400	38921	1.5145178639317228e-24	1.0090817356205853e-05	0.0008879919273461151
A15	A16	16	87	123	38921	3.529717562824976e-24	1.0090817356205853e-05	0.000898082744702321
F32	F33	29	631	137	38921	5.3747923073194315e-24	1.0090817356205853e-05	0.0009081735620585269
E10	E11	17	211	68	38921	5.518631314620781e-24	1.0090817356205853e-05	0.0009182643794147326
I10	K76	38	552	314	38921	6.3447495563552e-24	1.0090817356205853e-05	0.0009283551967709385
F31	F60	22	92	424	38921	1.7514384530106272e-23	1.0090817356205853e-05	0.0009384460141271443
F19	F32	62	831	631	38921	2.0030521526215832e-23	1.0090817356205853e-05	0.0009485368314833502
N18	I10	21	64	552	38921	2.459858209501149e-23	1.0090817356205853e-05	0.0009586276488395561
K04	K12	22	213	181	38921	2.9529301666913725e-23	1.0090817356205853e-05	0.0009687184661957619
B18	B94	13	291	21	38921	3.360399545409166e-23	1.0090817356205853e-05	0.0009788092835519677
B24	B17	15	55	176	38921	3.73749985347073e-23	1.0090817356205853e-05	0.0009889001009081735
H50	H53	14	95	74	38921	3.959030271935015e-23	1.0090817356205853e-05	0.0009989909182643794
F10	F12	52	1537	260	38921	3.1113393012848313e-22	1.0090817356205853e-05	0.0010090817356205853
F17	I10	52	703	552	38921	3.2287266804759517e-22	1.0090817356205853e-05	0.0010191725529767911
K21	K26	25	444	146	38921	3.614972986609785e-22	1.0090817356205853e-05	0.001029263370332997
E78	F17	51	540	703	38921	7.346031564959443e-22	1.0090817356205853e-05	0.0010393541876892029
B18	B24	16	291	55	38921	1.441263096046376e-21	1.0090817356205853e-05	0.0010494450050454087
K35	K65	24	1442	50	38921	1.79029187033223e-21	1.0090817356205853e-05	0.0010595358224016146
M17	M23	27	59	1755	38921	4.506208159077827e-21	1.0090817356205853e-05	0.0010696266397578205
H33	H52	17	137	155	38921	9.063091135097906e-21	1.0090817356205853e-05	0.0010797174571140263
