ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
J06	J15	14	9	6	41779	0.0	6.8119891008174385e-06	6.8119891008174385e-06
J06	J45	36	9	6	41779	0.0	6.8119891008174385e-06	1.3623978201634877e-05
J06	J44	27	9	7	41779	0.0	6.8119891008174385e-06	2.0435967302452316e-05
J06	J40	14	9	7	41779	0.0	6.8119891008174385e-06	2.7247956403269754e-05
J06	J38	17	9	8	41779	0.0	6.8119891008174385e-06	3.4059945504087195e-05
J06	J35	58	9	9	41779	0.0	6.8119891008174385e-06	4.087193460490463e-05
J06	J31	29	9	8	41779	0.0	6.8119891008174385e-06	4.768392370572207e-05
J06	J22	13	9	9	41779	0.0	6.8119891008174385e-06	5.449591280653951e-05
J06	J21	12	9	4	41779	0.0	6.8119891008174385e-06	6.130790190735695e-05
J06	J20	94	9	8	41779	0.0	6.8119891008174385e-06	6.811989100817439e-05
J06	J18	86	9	9	41779	0.0	6.8119891008174385e-06	7.493188010899182e-05
J06	J98	17	9	8	41779	0.0	6.8119891008174385e-06	8.174386920980927e-05
J06	J11	20	9	9	41779	0.0	6.8119891008174385e-06	8.85558583106267e-05
J06	B09	10	9	2	41779	0.0	6.8119891008174385e-06	9.536784741144414e-05
J06	B08	20	9	7	41779	0.0	6.8119891008174385e-06	0.00010217983651226157
J06	B00	25	9	8	41779	0.0	6.8119891008174385e-06	0.00010899182561307902
J06	A09	186	9	9	41779	0.0	6.8119891008174385e-06	0.00011580381471389646
J06	A08	182	9	7	41779	0.0	6.8119891008174385e-06	0.0001226158038147139
J05	J31	24	6	8	41779	0.0	6.8119891008174385e-06	0.00012942779291553132
J05	J20	19	6	8	41779	0.0	6.8119891008174385e-06	0.00013623978201634878
J04	L22	23	8	8	41779	0.0	6.8119891008174385e-06	0.0001430517711171662
J04	L20	14	8	9	41779	0.0	6.8119891008174385e-06	0.00014986376021798364
J06	L22	53	9	8	41779	0.0	6.8119891008174385e-06	0.00015667574931880107
J11	L22	26	9	8	41779	0.0	6.8119891008174385e-06	0.00016348773841961853
J11	J40	15	9	7	41779	0.0	6.8119891008174385e-06	0.00017029972752043596
J11	J35	18	9	9	41779	0.0	6.8119891008174385e-06	0.0001771117166212534
J11	J20	32	9	8	41779	0.0	6.8119891008174385e-06	0.00018392370572207085
J11	J18	19	9	9	41779	0.0	6.8119891008174385e-06	0.00019073569482288828
