ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
I21	I25	273	403	1481	55412	0.0	1.4048890137679124e-06	1.4048890137679124e-06
E66	I10	1798	2907	9356	55412	0.0	1.4048890137679124e-06	2.8097780275358248e-06
E78	I25	680	4450	1481	55412	0.0	1.4048890137679124e-06	4.214667041303737e-06
I20	I25	355	728	1481	55412	0.0	1.4048890137679124e-06	5.6195560550716496e-06
E11	I10	1201	1892	9356	55412	0.0	1.4048890137679124e-06	7.024445068839562e-06
N92	D25	620	2235	2000	55412	0.0	1.4048890137679124e-06	8.429334082607475e-06
E78	I10	2376	4450	9356	55412	0.0	1.4048890137679124e-06	9.834223096375386e-06
I10	I25	939	9356	1481	55412	0.0	1.4048890137679124e-06	1.1239112110143299e-05
M51	M54	613	1873	3007	55412	3.0336096e-316	1.4048890137679124e-06	1.2644001123911212e-05
M17	M23	478	1335	2548	55412	1.0199593840532512e-297	1.4048890137679124e-06	1.4048890137679123e-05
K21	K44	311	1074	962	55412	2.9496727883852068e-297	1.4048890137679124e-06	1.5453779151447035e-05
M23	M94	271	2548	360	55412	7.62933974659743e-285	1.4048890137679124e-06	1.685866816521495e-05
E66	E78	861	2907	4450	55412	7.867790943845106e-276	1.4048890137679124e-06	1.826355717898286e-05
E11	E66	552	1892	2907	55412	6.311046202037887e-262	1.4048890137679124e-06	1.9668446192750772e-05
N13	N20	172	335	595	55412	2.3798823539134554e-252	1.4048890137679124e-06	2.1073335206518687e-05
K21	K29	406	1074	2793	55412	1.4609866500458692e-245	1.4048890137679124e-06	2.2478224220286598e-05
K29	K44	382	2793	962	55412	6.731454199534236e-240	1.4048890137679124e-06	2.388311323405451e-05
E11	E78	623	1892	4450	55412	9.471721055977415e-223	1.4048890137679124e-06	2.5288002247822424e-05
M22	M23	214	331	2548	55412	6.7181497963385e-201	1.4048890137679124e-06	2.6692891261590336e-05
M23	M24	217	2548	353	55412	1.398432437532462e-196	1.4048890137679124e-06	2.8097780275358247e-05
C78	C79	103	286	201	55412	2.4936272308276926e-186	1.4048890137679124e-06	2.950266928912616e-05
I10	I20	465	9356	728	55412	4.772914164762541e-179	1.4048890137679124e-06	3.090755830289407e-05
F10	K70	105	690	157	55412	2.0403520777476628e-162	1.4048890137679124e-06	3.231244731666199e-05
E78	I20	328	4450	728	55412	2.346842879248295e-162	1.4048890137679124e-06	3.37173363304299e-05
M53	M54	308	896	3007	55412	3.3987579186075956e-161	1.4048890137679124e-06	3.512222534419781e-05
N39	N81	265	2189	868	55412	1.7560939839391318e-158	1.4048890137679124e-06	3.652711435796572e-05
F17	J44	220	1142	1022	55412	1.769384072040423e-157	1.4048890137679124e-06	3.793200337173363e-05
H91	H93	116	434	355	55412	7.221859765543404e-157	1.4048890137679124e-06	3.9336892385501544e-05
E14	I10	445	744	9356	55412	3.556125818197545e-155	1.4048890137679124e-06	4.074178139926946e-05
J32	J34	112	431	339	55412	2.7794224364328484e-152	1.4048890137679124e-06	4.2146670413037374e-05
E78	E79	248	4450	463	55412	4.253710449881631e-145	1.4048890137679124e-06	4.3551559426805285e-05
M47	M54	296	926	3007	55412	7.140023382291737e-145	1.4048890137679124e-06	4.4956448440573196e-05
E78	F17	391	4450	1142	55412	4.932009591366858e-144	1.4048890137679124e-06	4.636133745434111e-05
E78	K76	436	4450	1431	55412	1.2320703485073525e-139	1.4048890137679124e-06	4.776622646810902e-05
N20	N23	96	595	190	55412	1.1691985859237442e-137	1.4048890137679124e-06	4.917111548187693e-05
I10	K76	639	9356	1431	55412	6.999766463684011e-137	1.4048890137679124e-06	5.057600449564485e-05
E79	I10	314	463	9356	55412	7.19536775568219e-132	1.4048890137679124e-06	5.198089350941276e-05
E11	E14	210	1892	744	55412	3.532170084268852e-130	1.4048890137679124e-06	5.338578252318067e-05
E78	I21	214	4450	403	55412	3.814102800048589e-124	1.4048890137679124e-06	5.479067153694858e-05
F32	I10	894	2476	9356	55412	1.989267525182846e-123	1.4048890137679124e-06	5.6195560550716494e-05
M42	M54	188	421	3007	55412	4.285006577693653e-122	1.4048890137679124e-06	5.7600449564484405e-05
N84	N95	301	2048	1792	55412	5.849641419081255e-112	1.4048890137679124e-06	5.900533857825232e-05
F32	M54	436	2476	3007	55412	1.724113342910136e-110	1.4048890137679124e-06	6.0410227592020235e-05
F32	F33	202	2476	660	55412	3.4623179379543e-110	1.4048890137679124e-06	6.181511660578814e-05
I10	I11	280	9356	436	55412	1.2628113104552369e-108	1.4048890137679124e-06	6.322000561955606e-05
F17	I10	507	1142	9356	55412	4.520239744796653e-107	1.4048890137679124e-06	6.462489463332398e-05
E66	K76	310	2907	1431	55412	4.334671866310604e-105	1.4048890137679124e-06	6.602978364709188e-05
F17	I25	200	1142	1481	55412	2.393640326593079e-102	1.4048890137679124e-06	6.74346726608598e-05
E11	I25	252	1892	1481	55412	4.336332824605761e-102	1.4048890137679124e-06	6.88395616746277e-05
C50	C77	99	1384	215	55412	6.7087664380319775e-99	1.4048890137679124e-06	7.024445068839562e-05
N85	N92	239	1173	2235	55412	1.755750536601823e-98	1.4048890137679124e-06	7.164933970216353e-05
G56	M65	238	1880	1378	55412	3.023630877741476e-98	1.4048890137679124e-06	7.305422871593144e-05
N84	N92	315	2048	2235	55412	1.7128560311082655e-96	1.4048890137679124e-06	7.445911772969936e-05
C50	C79	95	1384	201	55412	2.62001180847208e-96	1.4048890137679124e-06	7.586400674346727e-05
E66	E79	170	2907	463	55412	4.305391257904216e-96	1.4048890137679124e-06	7.726889575723518e-05
I10	I21	254	9356	403	55412	6.523348950530077e-96	1.4048890137679124e-06	7.867378477100309e-05
E11	H36	78	1892	99	55412	6.774843462526985e-95	1.4048890137679124e-06	8.007867378477101e-05
C77	C78	63	215	286	55412	5.0030381193704415e-93	1.4048890137679124e-06	8.148356279853892e-05
M48	M51	120	315	1873	55412	5.02153615823835e-92	1.4048890137679124e-06	8.288845181230683e-05
M17	M22	109	1335	331	55412	2.081115874031745e-91	1.4048890137679124e-06	8.429334082607475e-05
I84	K57	183	1114	1442	55412	1.4775314164120798e-90	1.4048890137679124e-06	8.569822983984265e-05
N84	N85	219	2048	1173	55412	9.275212230906625e-90	1.4048890137679124e-06	8.710311885361057e-05
E14	E66	204	744	2907	55412	2.411560273505226e-88	1.4048890137679124e-06	8.850800786737847e-05
H25	H52	80	935	200	55412	1.2726227624003976e-87	1.4048890137679124e-06	8.991289688114639e-05
I85	K74	41	73	153	55412	1.5990456179798923e-87	1.4048890137679124e-06	9.131778589491431e-05
I42	I50	58	200	283	55412	1.6106983445624391e-85	1.4048890137679124e-06	9.272267490868222e-05
C77	C79	54	215	201	55412	1.146552919505114e-84	1.4048890137679124e-06	9.412756392245013e-05
M42	M51	128	421	1873	55412	5.164704551302782e-84	1.4048890137679124e-06	9.553245293621804e-05
M42	M47	100	421	926	55412	5.520508083856715e-84	1.4048890137679124e-06	9.693734194998596e-05
F10	F32	176	690	2476	55412	1.0032596218231962e-81	1.4048890137679124e-06	9.834223096375386e-05
K57	K63	170	1442	1080	55412	5.118114070397966e-81	1.4048890137679124e-06	9.974711997752178e-05
E78	F32	490	4450	2476	55412	5.727800827377351e-81	1.4048890137679124e-06	0.0001011520089912897
I84	K62	106	1114	455	55412	1.2377372146423502e-79	1.4048890137679124e-06	0.0001025568980050576
M22	M94	67	331	360	55412	1.471030572893509e-79	1.4048890137679124e-06	0.00010396178701882552
M19	M75	107	472	1115	55412	5.231489581625915e-79	1.4048890137679124e-06	0.00010536667603259342
I25	I50	97	1481	283	55412	5.416725364615725e-79	1.4048890137679124e-06	0.00010677156504636134
I10	J44	423	9356	1022	55412	8.140851306557423e-78	1.4048890137679124e-06	0.00010817645406012926
H25	H26	78	935	239	55412	3.363091062206774e-77	1.4048890137679124e-06	0.00010958134307389717
K29	K63	226	2793	1080	55412	1.7932694859111235e-76	1.4048890137679124e-06	0.00011098623208766508
N13	N23	54	335	190	55412	1.0237161483569861e-74	1.4048890137679124e-06	0.00011239112110143299
E03	I10	459	1184	9356	55412	1.3608724171911122e-73	1.4048890137679124e-06	0.0001137960101152009
M23	M67	142	2548	485	55412	6.043947412602731e-73	1.4048890137679124e-06	0.00011520089912896881
I26	I80	59	242	399	55412	2.0197880468869282e-72	1.4048890137679124e-06	0.00011660578814273673
E66	G47	158	2907	549	55412	9.530693118797973e-72	1.4048890137679124e-06	0.00011801067715650465
M20	M77	109	1461	453	55412	4.6807992559389664e-71	1.4048890137679124e-06	0.00011941556617027255
C56	C78	50	191	286	55412	8.291155365073085e-71	1.4048890137679124e-06	0.00012082045518404047
I10	I48	259	9356	508	55412	3.944790665673966e-70	1.4048890137679124e-06	0.0001222253441978084
N81	D25	164	868	2000	55412	2.853569562632084e-69	1.4048890137679124e-06	0.00012363023321157628
N83	D25	180	1049	2000	55412	3.439852345713333e-69	1.4048890137679124e-06	0.0001250351222253442
F32	F45	119	2476	361	55412	4.566688131226083e-69	1.4048890137679124e-06	0.00012644001123911211
K80	K85	95	2660	204	55412	5.526513058671901e-69	1.4048890137679124e-06	0.00012784490025288003
J43	J44	57	110	1022	55412	1.0941661691780319e-68	1.4048890137679124e-06	0.00012924978926664795
N80	D25	86	203	2000	55412	1.6692102982024593e-68	1.4048890137679124e-06	0.00013065467828041584
K80	K81	96	2660	214	55412	8.779543200794557e-68	1.4048890137679124e-06	0.00013205956729418376
C50	D48	123	1384	685	55412	3.576838386989694e-67	1.4048890137679124e-06	0.00013346445630795168
M42	M53	85	421	896	55412	3.1765333155291936e-66	1.4048890137679124e-06	0.0001348693453217196
C34	C79	42	171	201	55412	3.962483717124927e-65	1.4048890137679124e-06	0.00013627423433548751
F17	I21	90	1142	403	55412	5.9474239906764e-65	1.4048890137679124e-06	0.0001376791233492554
H25	H35	78	935	332	55412	8.447205269455653e-65	1.4048890137679124e-06	0.00013908401236302332
E11	K76	199	1892	1431	55412	8.654643603721322e-65	1.4048890137679124e-06	0.00014048890137679124
C50	C78	84	1384	286	55412	1.4237600156031892e-64	1.4048890137679124e-06	0.00014189379039055916
E66	I25	255	2907	1481	55412	1.927705530408843e-64	1.4048890137679124e-06	0.00014329867940432705
F32	F43	144	2476	589	55412	2.5910443441889358e-64	1.4048890137679124e-06	0.00014470356841809497
M47	M51	158	926	1873	55412	2.950438884723533e-64	1.4048890137679124e-06	0.0001461084574318629
F32	F41	135	2476	516	55412	3.148264391967471e-64	1.4048890137679124e-06	0.0001475133464456308
M17	M21	70	1335	184	55412	4.847423160100926e-64	1.4048890137679124e-06	0.00014891823545939872
M53	M62	51	896	101	55412	9.929909708968103e-64	1.4048890137679124e-06	0.00015032312447316661
N85	D25	183	1173	2000	55412	1.1682473172617622e-63	1.4048890137679124e-06	0.00015172801348693453
N73	N83	65	187	1049	55412	2.897695719081369e-63	1.4048890137679124e-06	0.00015313290250070245
F10	F13	55	690	165	55412	1.506109762908704e-62	1.4048890137679124e-06	0.00015453779151447037
J18	J44	100	623	1022	55412	3.022458979837804e-62	1.4048890137679124e-06	0.00015594268052823829
M54	M99	80	3007	144	55412	4.177652846645794e-62	1.4048890137679124e-06	0.00015734756954200618
C18	C19	29	220	41	55412	2.573752697392062e-61	1.4048890137679124e-06	0.0001587524585557741
I24	I25	50	73	1481	55412	3.106049820429025e-61	1.4048890137679124e-06	0.00016015734756954201
I20	I21	74	728	403	55412	4.0803754695441166e-61	1.4048890137679124e-06	0.00016156223658330993
E78	M47	239	4450	926	55412	1.100086537440042e-60	1.4048890137679124e-06	0.00016296712559707785
E03	E78	277	1184	4450	55412	1.3921166854570462e-60	1.4048890137679124e-06	0.00016437201461084574
E10	E11	85	254	1892	55412	1.430371391779473e-59	1.4048890137679124e-06	0.00016577690362461366
K29	K57	237	2793	1442	55412	3.3447325670158096e-59	1.4048890137679124e-06	0.00016718179263838158
E14	E78	208	744	4450	55412	3.945527620957113e-59	1.4048890137679124e-06	0.0001685866816521495
J44	J96	53	1022	124	55412	3.8685545335800625e-58	1.4048890137679124e-06	0.00016999157066591739
E78	M54	501	4450	3007	55412	1.3906803243698696e-57	1.4048890137679124e-06	0.0001713964596796853
M22	M24	53	331	353	55412	1.6152897263810983e-57	1.4048890137679124e-06	0.00017280134869345322
N84	D25	237	2048	2000	55412	1.967010512168243e-57	1.4048890137679124e-06	0.00017420623770722114
J32	J33	38	431	85	55412	2.021950637923032e-57	1.4048890137679124e-06	0.00017561112672098906
E66	J44	196	2907	1022	55412	4.7589025003485575e-57	1.4048890137679124e-06	0.00017701601573475695
